t,loop_dt,cmd_ant_l,cmd_ant_r,pres_ant_l,pres_ant_r
3.5630,0.016878,-0.092612,0.092612,-0.050621,0.053689
3.5797,0.016752,-0.105020,0.105020,-0.055223,0.058291
3.5965,0.016767,-0.117873,0.117873,-0.073631,0.072097
3.6133,0.016821,-0.131123,0.131123,-0.088971,0.087437
3.6301,0.016764,-0.144599,0.144599,-0.102777,0.099709
3.6469,0.016808,-0.158298,0.158298,-0.122718,0.113515
3.6637,0.016768,-0.172065,0.172065,-0.122718,0.113515
3.6804,0.016754,-0.185837,0.185837,-0.130388,0.128854
3.6972,0.016759,-0.199542,0.199542,-0.144194,0.136524
3.7139,0.016755,-0.213089,0.213089,-0.161068,0.154932
3.7307,0.016763,-0.226401,0.226401,-0.181010,0.179476
3.7477,0.017045,-0.239605,0.239605,-0.199418,0.196350
3.7645,0.016762,-0.252181,0.252181,-0.199418,0.196350
3.7813,0.016755,-0.264268,0.264268,-0.208621,0.213223
3.7980,0.016753,-0.275795,0.275795,-0.225495,0.223961
3.8148,0.016760,-0.286695,0.286695,-0.243903,0.236233
3.8315,0.016759,-0.296895,0.296895,-0.256175,0.259243
3.8484,0.016819,-0.306364,0.306364,-0.274583,0.273049
3.8651,0.016768,-0.314981,0.314981,-0.274583,0.273049
3.8819,0.016757,-0.322717,0.322717,-0.285320,0.285320
3.8988,0.016881,-0.329576,0.329576,-0.296058,0.297592
3.9155,0.016760,-0.335416,0.335416,-0.305262,0.305262
3.9323,0.016757,-0.340252,0.340252,-0.316000,0.323670
3.9490,0.016765,-0.344057,0.344057,-0.331340,0.329806
3.9658,0.016727,-0.346800,0.346800,-0.331340,0.329806
3.9825,0.016750,-0.348474,0.348474,-0.334408,0.331340
3.9993,0.016748,-0.349065,0.349065,-0.343612,0.346680
4.0160,0.016757,-0.348569,0.348569,-0.351282,0.346680
4.0328,0.016754,-0.346988,0.346988,-0.345146,0.346680
4.0495,0.016763,-0.344332,0.344332,-0.345146,0.346680
4.0663,0.016755,-0.340619,0.340619,-0.354350,0.351282
4.0830,0.016738,-0.335876,0.335876,-0.352816,0.349748
